Question,Option_A,Option_B,Option_C,Option_D,Answer,Category,subcategory,Highlighted,Explanation_A,Explanation_B,Explanation_C,Explanation_D,High_Yield_Must_Know,One_Line,Accuracy_Review
"A 53-year-old woman admitted to the hospital with pneumonia. She has diabetes, hypertension and is on hemodialysis for end-stage renal disease (see lab results). Hb 98 (130-170 g/L Male, 120-160 g/L Female), Platelets count 151 (150-400 x 109/L), APTT 33 (30-40 sec), INR 0.9 (0.8-1.2), Prothrombin time 9.8 (10-13 sec), Creatinine 460 (44-115 umol/L). Which of the following is the most appropriate venous thromboembolism prophylaxis for this patient?",Graded compression stockings,Unfractionated heparin,Fondaparinux,Enoxaparin,B,Internal medicine,Hematology,Highlighted,Wrong as sole prophylaxis. Mechanical prophylaxis alone is reserved for when pharmacological prophylaxis is contraindicated.,"CORRECT. In SEVERE renal impairment/dialysis, UNFRACTIONATED HEPARIN is preferred - it is NOT renally cleared, avoiding accumulation and bleeding risk.",Wrong. Fondaparinux is predominantly renally cleared and CONTRAINDICATED in severe renal impairment.,Wrong. Enoxaparin is also substantially renally cleared and requires dose reduction or avoidance in dialysis-dependent patients.,"VTE PROPHYLAXIS AND RENAL FUNCTION. UNFRACTIONATED HEPARIN: cleared by the reticuloendothelial system/liver, minimal renal dependence - safest in severe renal impairment/dialysis; short half-life; FULLY reversible with protamine. LMWH: predominantly renally cleared, requires dose reduction below creatinine clearance 30, avoided or anti-Xa-monitored in dialysis; only PARTIALLY reversible with protamine. FONDAPARINUX: almost entirely renally cleared, contraindicated in severe impairment, no reliable reversal agent. GENERAL RULE: when renal function is significantly impaired, default to unfractionated heparin.","When the kidneys have failed, reach for unfractionated heparin - it does not depend on renal clearance and it reverses cleanly.",Accurate.
"A 38-year-old woman admitted with pyelonephritis. 2 days after admission, she develops sudden severe shortness of breath (see report). Blood pressure 84/50 mmHg, Heart rate 124 /min, Oxygen saturation 84 %. CT-pulmonary angiogram: A saddle embolus at the bifurcation of the pulmonary artery and multiple segmental pulmonary emboli bilaterally. which of the following is the most appropriate treatment?",Unfractionated heparin and warfarin,Enoxaparin,Alteplase,Apixaban,C,Internal medicine,Pulmonology,Highlighted,"Wrong as sole/primary therapy given her severity. Standard anticoagulation suits a HAEMODYNAMICALLY STABLE PE - she is in shock (BP 84/50, saturation 84%), a massive PE.","Wrong for the same reason - standard-intensity anticoagulation is inadequate as sole therapy for a haemodynamically unstable, massive PE.","CORRECT. A saddle embolus with bilateral segmental emboli AND haemodynamic instability defines a MASSIVE (high-risk) PE. SYSTEMIC THROMBOLYSIS WITH ALTEPLASE is the treatment of choice, actively dissolving clot to restore RV function and perfusion.","Wrong. Apixaban is an oral agent for STABLE, outpatient or step-down management - no role in immediate management of unstable massive PE.","PE RISK STRATIFICATION DRIVES TREATMENT. LOW-RISK/SUBMASSIVE (stable): standard anticoagulation, often outpatient. SUBMASSIVE WITH RV STRAIN (stable BP but abnormal troponin/BNP/echo): anticoagulation with close monitoring; thrombolysis considered case-by-case. MASSIVE/HIGH-RISK (unstable - as here): SYSTEMIC THROMBOLYSIS FIRST-LINE unless absolute contraindication, then catheter-directed thrombolysis or embolectomy. WHY: anticoagulants only PREVENT new clot; thrombolytics actively DISSOLVE existing clot within hours - essential when the RV is failing acutely. Always screen contraindications to thrombolysis even in an emergency (recent ICH, active bleeding, recent major surgery).",Shock plus a saddle PE means dissolve the clot with alteplase now - anticoagulation alone will not save her fast enough.,Accurate.
"A 59-year-old man has diabetes, hypertension, dyslipidemia and chronic renal impairment. He was admitted 5 days ago to the Coronary Care Unit for a non-ST-elevation myocardial infarction (NSTEMI). He is receiving unfractionated heparin. His labs upon admission were normal. Day 5 of his admission, labs as shown (see lab results). Hb 13.1 (130-170 g/L Male, 120-160 g/L Female), Platelets count 65 (150-400 x 109/L), WBC 10.3 (4.5-10.5 x 109/L), Creatinine 88 (44-115 umol/L), APTT 36 (30-40 sec), INR 1.1 (0.8-1.2), Prothrombin time 11 (10-13 sec). Which of the following is the most likely cause of his thrombocytopenia?",Immune thrombocytopenia (ITP),Heparin induced thrombocytopenia (HIT),Thrombotic thrombocytopenic purpura (TTP),Disseminated intravascular coagulopathy (DIC),B,Internal medicine,Hematology,Highlighted,Wrong. ITP is typically chronic without a clear temporal trigger; there is no reason for it to arise precisely on day 5 of heparin with normal baseline platelets.,CORRECT. Thrombocytopenia developing 5-10 days after starting heparin (normal at baseline) is the classic timing of HIT - immune reaction to heparin-platelet factor 4 complexes.,"Wrong. TTP would show microangiopathic haemolysis markers - not described here, and no specific relationship to heparin timing.",Wrong. DIC would show a prolonged PT/APTT with low fibrinogen - here coagulation is essentially normal.,"HEPARIN-INDUCED THROMBOCYTOPENIA. Heparin binds platelet factor 4; an IgG antibody forms against the complex, activating platelets via Fc receptors - causing thrombocytopenia BUT ALSO a markedly PRO-THROMBOTIC state (low platelets with HIGH thrombosis risk). CLASSIC TIMING: 5-10 days after first exposure (exactly day 5 here); faster (within 24h) with recent prior exposure. DIAGNOSIS: PF4-heparin antibody ELISA, confirmed by functional assay. MANAGEMENT: STOP ALL HEPARIN IMMEDIATELY, substitute a non-heparin anticoagulant - ARGATROBAN or BIVALIRUDIN (argatroban preferred in renal impairment, hepatically cleared) or fondaparinux. Never simply switch to LMWH (cross-reactivity). Avoid platelet transfusion unless active bleeding.","Falling platelets exactly around day 5 to 10 of heparin, with clean coagulation and no haemolysis, is HIT - stop the heparin now.",Accurate.
"A 38-year-old woman has fever and headache for 2 days. Peripheral smear done (see image and lab results). Heart rate 110 /min. Temperature 38.9 C. Hb 112 (130-170 g/L Male, 120-160 g/L Female), Reticulocyte 3.2 (0.2-1.2 %), Platelets count 123 (150-400 x 109/L), Fibrinogen 1.1 (2-4 g/L), APTT 68 (30-40 sec), INR 1.8 (0.8-1.2), Prothrombin time 24 (10-13 sec), Direct bilirubin 24.5 (1.5-6.5 umol/L), Total bilirubin 48.3 (3.5-16.5 umol/L), Lactate dehydrogenase 390 (60-160 IU/L). Which of the following is the most likely diagnosis?",Immune thrombocytopenia (ITP),Heparin induced thrombocytopenia (HIT),Thrombotic thrombocytopenic purpura (TTP),Disseminated intravascular coagulopathy (DIC),D,Internal medicine,Hematology,Highlighted,Wrong. ITP does not cause the marked coagulopathy (prolonged PT/APTT) seen here.,Wrong. No heparin exposure mentioned; HIT does not cause this profound consumptive coagulopathy.,"Wrong. TTP characteristically SPARES the coagulation cascade - PT/APTT are normal in TTP; here both are markedly prolonged with low fibrinogen, a pattern TTP does not produce.",CORRECT. Thrombocytopenia with PROLONGED PT AND APTT and MARKEDLY LOW FIBRINOGEN is the defining laboratory signature of DIC - a consumptive coagulopathy from an underlying trigger (fever suggests occult sepsis).,"DIC - THE LAB PATTERN THAT SEPARATES IT FROM TTP/HUS. Triggers: SEPSIS (leading cause), malignancy, obstetric catastrophe, trauma, pancreatitis. Widespread inappropriate coagulation activation consumes platelets AND clotting factors (including fibrinogen) faster than replaced, while triggering secondary fibrinolysis - producing SIMULTANEOUS thrombosis and bleeding tendency. KEY PATTERN: thrombocytopenia, PROLONGED PT/APTT (the discriminator versus TTP/HUS, which spare coagulation), LOW FIBRINOGEN, RAISED D-dimer, schistocytes/haemolysis (overlapping with TTP/HUS). MANAGEMENT: treat the underlying trigger (most important step); supportive transfusion guided by bleeding and labs - FFP for factors, cryoprecipitate for fibrinogen, platelets for active bleeding.",Low fibrinogen with a prolonged PT and APTT alongside haemolysis is DIC - and the coagulation numbers are exactly what separates it from TTP.,Accurate.
"A 62-year-old woman has atrial fibrillation for which she has started on warfarin. Few weeks after, she fell down and developed a subdural hematoma that requires evacuation (see lab result). INR 3.9 (0.8-1.2). Which of the following is the most appropriate management?",Vitamin K,Fresh frozen plasma,Activated factor VII (fviia),Fresh frozen plasma and vitamin K,D,Internal medicine,Hematology,Highlighted,Wrong as sole therapy. Vitamin K alone corrects the INR only over hours (driving new hepatic synthesis) - far too slow for urgent surgical evacuation.,"Wrong as sole therapy, though a correct component. FFP gives immediate but TRANSIENT factor replacement - it must be combined with vitamin K to sustain reversal.","Wrong as first-line here; recombinant factor VIIa is not the standard warfarin reversal agent (four-factor PCC is preferred where available), and it is not offered combined with vitamin K in this question.","CORRECT. Life-threatening bleeding on warfarin requires BOTH immediate factor replacement (FFP, or preferably PCC where available) AND vitamin K to sustain the correction beyond the transient effect of replaced factors.","WARFARIN REVERSAL - MATCH URGENCY TO STRATEGY. No bleeding, INR high: hold warfarin, oral vitamin K. Minor bleeding: hold warfarin, oral/low-dose IV vitamin K. MAJOR/LIFE-THREATENING BLEEDING (as here): IMMEDIATE FACTOR REPLACEMENT (four-factor PCC preferred - corrects INR within minutes; FFP if PCC unavailable) PLUS IV VITAMIN K to sustain correction, since infused factors are gradually cleared and the INR would otherwise rebound. Vitamin K alone is too slow for emergency neurosurgery. The combination provides both rapid and sustained reversal - standard of care for life-threatening warfarin-associated haemorrhage.","Life-threatening bleeding on warfarin needs both: factors now, plus vitamin K to keep the correction from wearing off.",Accurate.
"An 18-year-old-boy is receiving chemotherapy for acute lymphoblastic leukemia. On day 17 of chemotherapy, he has fever. He has no focus of infection (see lab results). Heart rate 110 /min, Temperature 38.9 C. Platelets count 25 (150-400 x 109/L), WBC 0.6 (4.5-10.5 x 109/L), Neutrophils 60 (40-60%), Lymphocytes 20 (20-40 %). Which of the following is the most appropriate management?","Send blood, urine, sputum cultures","Send blood, urine, sputum cultures and start paracetamol","Send blood, urine, sputum cultures and start oral broad spectrum antibiotics","Send blood, urine, sputum cultures and start intravenous broad spectrum antibiotics",D,Internal medicine,Oncology,Highlighted,Wrong. Cultures ALONE without simultaneous antibiotics is insufficient - febrile neutropenia is a medical emergency and antibiotics must not be delayed awaiting cultures.,Wrong. Paracetamol masks the fever symptomatically without addressing the potentially life-threatening infective process.,"Wrong. Oral antibiotics do not achieve reliable, rapid therapeutic levels for this life-threatening presentation; IV is required.",CORRECT. Absolute neutrophil count roughly 0.36 x10^9/L (WBC 0.6 x 60% neutrophils) with fever meets febrile neutropenia. Standard of care: send cultures AND immediately start empirical BROAD-SPECTRUM IV ANTIBIOTICS without waiting for results or an identified focus.,"FEBRILE NEUTROPENIA - A TRUE EMERGENCY WHERE SPEED IS EVERYTHING. Definition: fever (38.3 C once, or 38.0 sustained an hour) with ANC under 0.5 x10^9/L. Neutropenic patients cannot mount localising signs, so 'no focus of infection' is TYPICAL, not reassuring. EMPIRICAL IV BROAD-SPECTRUM ANTIBIOTICS MUST START WITHIN 1 HOUR - an audited quality benchmark, since delay is directly linked to mortality. STANDARD REGIMEN: anti-pseudomonal beta-lactam (piperacillin-tazobactam, cefepime, or a carbapenem) as monotherapy, add vancomycin if line infection, skin/soft tissue infection, instability, or known MRSA. Cultures (blood including from any line, urine, sputum) are sent BEFORE but WITHOUT DELAYING antibiotics.","Fever plus severe neutropenia is an emergency - cultures go out, but IV antibiotics go in within the hour, no waiting.",Accurate.
"A 43-year-old-woman has fever, night sweats and weight loss. She has lost 12 Kg in the last 3 month (unintentional). She had no contact with a tuberculosis patient. On examination, she has bilateral cervical lymph nodes, largest 3 cm X2 cm. There is also inguinal lymphadenopathy and the spleen is palpable 3 fingers below the costal margin. Which of the following is the most appropriate next step in management?",Fine needle aspiration of the lymph node,Excisional biopsy of the lymph node,Bone marrow biopsy,Splenectomy,B,Internal medicine,Oncology,Highlighted,"Wrong. FNA gives only cytology and DISRUPTS ARCHITECTURE - inadequate for lymphoma diagnosis, which requires assessment of intact nodal architecture.","CORRECT. B SYMPTOMS (fever, drenching night sweats, unintentional weight loss over 10%) with GENERALISED lymphadenopathy and splenomegaly strongly suggests lymphoma. EXCISIONAL BIOPSY, preserving architecture, is the gold standard diagnostic procedure.",Wrong as the first step. Bone marrow biopsy is part of STAGING once lymphoma is confirmed histologically - it does not establish the primary diagnosis.,Wrong. Splenectomy has no role as an initial diagnostic step.,"LYMPHADENOPATHY WORKUP - LYMPHOMA NEEDS ARCHITECTURE, NOT JUST CELLS. B symptoms: fever, drenching night sweats, unintentional weight loss over 10% of body weight in 6 months - incorporated into Ann Arbor staging. RED FLAGS favouring lymphoma over reactive nodes: size over 2 cm, persistence, firm/rubbery texture, multiple/unusual groups, GENERALISED involvement (as here - cervical AND inguinal), splenomegaly, B symptoms. WHY EXCISIONAL NOT FNA: lymphoma diagnosis depends on the overall ARCHITECTURAL PATTERN (Reed-Sternberg cells in Hodgkin, follicular pattern in follicular lymphoma) - FNA destroys this. Select the LARGEST, most accessible node. STAGING once confirmed: CT or PET-CT plus bone marrow biopsy.","B symptoms plus generalised nodes plus splenomegaly suggest lymphoma - and only a whole excised node, not a needle sample, can prove it.",Accurate.
"A 63-year-old man has chronic lymphocytic leukemia started on chemotherapy. His initial lymphocyte count was 73,000. 2 days after chemotherapy, he presents with fatigue and dry mouth (see lab results). WBC 5.7 (4.5-10.5 x 109/L), Lymphocytes 60 (20-40 %), Potassium 5.5 (3.5-5.1 mmol/L), Phosphate, inorganic 1.48 (0.82-1.51 mmol/L), Creatinine 139 (44-115 umol/L), Uric acid 620 (200-410 umol/L Male, 140-360 umol/L Female). Which of the following electrolyte abnormality is associated with the above condition?",Hypocalcimia,Hypercalcimia,Hyponatremia,Hypernatremia,A,Internal medicine,Oncology,Highlighted,"CORRECT. This is TUMOUR LYSIS SYNDROME (high tumour burden, chemotherapy just initiated, raised potassium, phosphate at upper limit, raised uric acid, worsening renal function). RAPID PHOSPHATE RELEASE from lysed cells BINDS CIRCULATING CALCIUM, causing SECONDARY HYPOCALCAEMIA.",Wrong - the opposite of the actual mechanism.,Wrong. Not a characteristic tumour lysis abnormality.,Wrong for the same reason.,"TUMOUR LYSIS SYNDROME - THE CLASSIC ELECTROLYTE TETRAD. Massive lysis of a large, rapidly proliferating tumour burden (high-risk here given his baseline lymphocyte count of 73,000), typically triggered by chemotherapy initiation, releases intracellular contents faster than the body can excrete them. TETRAD: HYPERKALAEMIA (most acutely dangerous - arrhythmia risk), HYPERPHOSPHATAEMIA, HYPERURICAEMIA (from purine catabolism, causing AKI via tubular crystal precipitation), and SECONDARY HYPOCALCAEMIA (phosphate binds calcium, precipitating as calcium-phosphate salts - causing fatigue, dry mouth, cramps, tetany). PREVENTION: aggressive IV hydration, RASBURICASE or allopurinol, close monitoring, dialysis if severe.","Chemotherapy plus a huge tumour burden means tumour lysis: potassium up, phosphate up, uric acid up, and calcium crashes because phosphate mops it up.",Accurate.
"A 65-year-old man presented with 6-month symptoms of Parkinsonism, early dementia. fluctuations in cognition and visual hallucinations. Which of the following is the most likely diagnosis?",Parkinson disease,Alzheimer disease,Corticobasal syndrome,Dementia with Lewy bodies,D,Internal medicine,Neurology,Highlighted,"Wrong. In classic Parkinson's disease, motor features typically precede any dementia by years; prominent hallucinations and fluctuations are not early features.","Wrong. Alzheimer's presents with progressive memory impairment WITHOUT prominent early parkinsonism, fluctuation, or hallucinations.","Wrong. Corticobasal syndrome typically shows striking asymmetric parkinsonism plus apraxia, alien limb, cortical sensory loss - a different combination.","CORRECT. The classic core triad - FLUCTUATING COGNITION, recurrent VISUAL HALLUCINATIONS, and PARKINSONISM - with dementia developing early, near-concurrent with the motor symptoms, is dementia with Lewy bodies.","DEMENTIA WITH LEWY BODIES - THE SECOND COMMONEST NEURODEGENERATIVE DEMENTIA. Core features (2+ for probable DLB): fluctuating cognition/attention, recurrent well-formed visual hallucinations (often early, unlike Alzheimer's), spontaneous parkinsonism, and REM sleep behaviour disorder (often precedes by years). THE ONE-YEAR RULE: dementia before or within 1 year of parkinsonism onset = DLB; parkinsonism established over 1 year before dementia = Parkinson's disease dementia (same underlying alpha-synuclein spectrum). CRITICAL SAFETY POINT: DLB patients have SEVERE ANTIPSYCHOTIC SENSITIVITY - avoid, or use only low-dose quetiapine/clozapine if hallucinations require treatment. Cholinesterase inhibitors are often particularly effective for cognitive symptoms in DLB.","Fluctuating cognition plus visual hallucinations plus parkinsonism arriving together, within a year, is Lewy body dementia - and it means never give antipsychotics lightly.",Accurate.
An 81-year-old man with memory loss and difficulty recognizing his grandsons. He has no cardiovascular risk factors. Which of the following is the most common cause of his cognitive impairment?,Alcohol-induced encephalopathy,Parkinson's associated dementia,Multi-infarct dementia,Alzheimer's disease,D,Internal medicine,Neurology,Not,Wrong. No alcohol history given.,Wrong. No parkinsonism described.,Wrong. Vascular dementia is strongly linked to cardiovascular risk factors - explicitly ABSENT here - and typically shows stepwise decline with focal deficits.,"CORRECT. In an elderly patient with progressive memory loss, no cardiovascular risk factors, and no other pointers to an alternative cause, ALZHEIMER'S DISEASE is by far the commonest cause of dementia (roughly 60-70% of cases).","ALZHEIMER'S DISEASE - THE COMMONEST DEMENTIA. Insidious onset, gradual steady decline (contrast the stepwise course of vascular dementia and the fluctuating course with early hallucinations of DLB). Earliest feature: short-term memory impairment, difficulty learning new information and recognising familiar people (as here), with older memories relatively preserved early on. Progresses to language, executive function, visuospatial deficits, and eventually behavioural symptoms. Pathology: amyloid-beta plaques and tau neurofibrillary tangles, hippocampal atrophy early. WORKUP to exclude reversible causes: B12, folate, TSH, calcium, renal/liver function, structural imaging. TREATMENT: cholinesterase inhibitors (mild-moderate), memantine (moderate-severe) - modest symptomatic benefit.","Elderly, gradual memory loss, no vascular risk factors: statistically this is Alzheimer's, the commonest dementia by far.",Accurate.
A 65-year-old man who is asymptomatic and has no known allergies is seen for a general examination. What is the best approach for pneumococcus immunization?,PPSV23,PCV13 followed by PPSV23,PPSV23 followed by PCV13,No evidence supports vaccinating this patient,B,Internal medicine,Infectious Disease,Highlighted,"Wrong as sole agent for this scenario when both are indicated - the sequenced approach with PCV13 first provides superior, more durable immunity.","CORRECT. Recommended approach for an adult 65 or over receiving both vaccines: PCV13 FIRST, followed by PPSV23 at least 1 year later - conjugate before polysaccharide produces a superior immune response.",Wrong - this is the specific ordering error tested. PPSV23 before PCV13 causes immunological hyporesponsiveness to the subsequent conjugate dose.,Wrong. Pneumococcal vaccination is routinely recommended for adults 65 and older.,"PNEUMOCOCCAL VACCINATION SEQUENCING. PCV13 (conjugate) generates a stronger, T-cell-dependent, longer-lasting immune memory; PPSV23 (polysaccharide, broader coverage) generates a weaker, T-cell-independent response. RULE: CONJUGATE ALWAYS BEFORE POLYSACCHARIDE when both are given, with at least a 1-year interval (shorter in high-risk immunocompromised patients) - reversing the order blunts the conjugate response. Recommended for all adults 65+, and younger adults with chronic disease, diabetes, smoking, immunosuppression, or asplenia.","When giving both pneumococcal vaccines, the conjugate one goes first - reversing the order weakens the response.","Accurate as reflecting the sequencing principle standard in this era; specific formulations (PCV15/PCV20) have evolved since, so verify current guidance, though the conjugate-before-polysaccharide principle remains valid."
A 64-year-old man presents to the clinic after having first episode of right knee pain for 2 weeks duration. He asks for a medicine to relieve his pain. He does not have any other symptoms apart from epigastric burning. He has no history of injury to the knee. Examination of knee is normal. Which is the most appropriate analgesic for this patient at this stage?,Aspirin,Codeine,Ibuprofen,Paracetamol,D,Internal medicine,Gastroenterology,Not,"Wrong. Aspirin, an NSAID, carries the same risk of aggravating gastric irritation as other NSAIDs in a patient already reporting epigastric burning.",Wrong as first-line. Codeine is reserved as second/third-line given its side-effect burden - not appropriate initial choice for apparent mild musculoskeletal pain.,"Wrong. Ibuprofen, an NSAID, can worsen or precipitate peptic ulcer disease through inhibition of protective gastric prostaglandins - should be avoided given his epigastric burning.","CORRECT. Paracetamol provides effective analgesia without the GI-irritant properties of NSAIDs, making it the safest choice given his concurrent epigastric burning.","CHOOSING AN ANALGESIC WITH COEXISTING GI SYMPTOMS. NSAIDs (including aspirin) inhibit COX, reducing protective gastric prostaglandins - a well-established cause of gastritis, peptic ulcer disease and GI bleeding, worsened by age, anticoagulants, steroids, prior ulcer history and H. pylori. Epigastric burning is a red flag for gastritis/early PUD, so avoid all NSAIDs. PARACETAMOL has minimal peripheral anti-inflammatory activity and works centrally, without significant gastric prostaglandin inhibition - the safer first-line choice here. GENERAL RULE: always screen for GI symptoms, renal impairment, cardiovascular disease and anticoagulant use before prescribing an NSAID.","Epigastric burning plus a request for pain relief means avoid every NSAID, including aspirin - paracetamol is the safe first choice.",Accurate.
"An 82-year-old woman at long term nursing facility who wears hearing aids and is found to have bilateral cerumen impaction, a Weber test that lateralizes to the right. and a bilaterally positive Rinne test. Which of the following is the most likely explanation?",Right-sided acoustic neuroma,Prebycusis that is greater on the right,Conductive hearing loss that is greater on the right,Chronic serous otitis media that is greater on the left,B,Internal medicine,General Internal Medicine,Highlighted,"Wrong. No other features (tinnitus, vertigo, facial numbness) suggest a mass lesion; the far more common explanation of age-related sensorineural loss fits without invoking a rare structural cause.","CORRECT among the options as intended. A BILATERALLY POSITIVE RINNE indicates the process is SENSORINEURAL, not conductive - consistent with PRESBYCUSIS, the overwhelmingly commonest cause of hearing loss in this age group.","Wrong. A bilaterally positive Rinne argues AGAINST a significant conductive process, which would be expected to produce a negative Rinne on the affected side.","Wrong, and internally inconsistent with the stated Weber finding - a left-sided conductive process would be expected to lateralise the Weber to the LEFT, not the right as described; the bilaterally positive Rinne also argues against a conductive process.","WEBER AND RINNE INTERPRETATION. RINNE (air vs bone conduction in the same ear): POSITIVE (air greater than bone) = normal or sensorineural loss; NEGATIVE (bone greater than air) = conductive loss. WEBER (midline, which ear is louder): CONDUCTIVE loss - lateralises TOWARDS the affected ear; SENSORINEURAL loss - lateralises AWAY from the affected ear (towards the better ear). Here, bilaterally positive Rinne confirms a SENSORINEURAL process. PRESBYCUSIS - age-related sensorineural hearing loss, typically bilateral and symmetric or mildly asymmetric, preferentially high-frequency - is by far the commonest cause in an 82-year-old. Management: remove the cerumen impaction (contributes a conductive overlay and should be cleared regardless) and optimise hearing aid fitting.","A positive Rinne on both sides means it is sensorineural, not blocked wax - and Weber tells you which ear hears better.",Correct 
